stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
20897,Hwy 101 & Dahlia Dr,32.987841,-117.270872,,20897,0,,1,N-S/B,,,Hwy 101 & Dahlia
20898,Hwy 101 & Via De La Valle,32.980405,-117.269259,,20898,0,,2,N-S/B,,,Hwy 101 & V dl Valle
20899,Camino Del Mar & 25th St,32.969275,-117.268018,,20899,0,,1,F-S/B,,,Cmo Del Mar&25th
20900,El Camino Real & La Costa Av,33.084852,-117.268499,,20900,0,,1,F-S/B,,,El Cmo Real&La Costa
20901,El Camino Real & Arenal Rd,33.094933,-117.267864,,20901,0,,2,N-S/B,,,El Cmo Real&Arenal
20903,Camino Del Mar & 15th St,32.959836,-117.265439,,20903,0,,1,N-S/B,cdm15S,,Cmo Del Mar&15th
20904,El Camino Real & Aviara Pkwy,33.102746,-117.266771,,20904,0,,1,N-S/B,,,El Cmo Real&Aviara
20905,Camino Del Mar & 13th St,32.957370,-117.264661,,20905,0,,1,F-S/B,cdm13S,,Cmo Del Mar&13th
20906,El Camino Real & Levante St,33.078140,-117.265555,,20906,0,,1,F-S/B,,,El Cmo Real&Levante
20907,Camino Del Mar & 9th St,32.953629,-117.263213,,20907,0,,1,N-S/B,,,Cmo Del Mar&9th
20908,Camino Del Mar & 4th St,32.949149,-117.261518,,20908,0,,1,N-S/B,cdm4th,,Cmo Del Mar&4th
20910,El Camino Real & Encinitas Blvd,33.044644,-117.259785,,20910,0,,2,F-S/B,ecrenc,,El Cmo Real&Encinitasvd
20912,El Camino Real & Santa Fe Dr,33.039133,-117.259581,,20912,0,,1,N-S/B,,,El Cmo Real&Santa Fe
20916,Melrose Dr & Sunset Dr,33.179114,-117.253583,,20916,0,,1,N-S/B,,,Melrose&Sunset
20917,Melrose Dr & Branding Iron Cir,33.181793,-117.252628,,20917,0,,2,F-S/B,,,Melrose&Branding Iron Cir
20918,North Dr & East Dr,33.214102,-117.252354,,20918,0,,2,N-S/B,,,North&East
20919,N Santa Fe Av & Osborne St,33.234468,-117.253786,,20919,0,,2,M-Street-E/B,,,N Santa Fe&Osborne
20926,N Santa Fe Av & Pond Pl,33.224305,-117.246513,,20926,0,,1,F-S/B,,,N Santa Fe&Pond
20928,N Santa Fe Av & Orange St,33.205271,-117.245127,,20928,0,,2,N-S/B,,,N Santa Fe&Orange
20929,N Santa Fe Av & East Dr,33.214275,-117.245042,,20929,0,,1,N-S/B,,,N Santa Fe&East
20931,S Mission Rd & Winterhaven Rd,33.346132,-117.242385,,20931,0,,1,N-S/B,,,S Mission&Winterhaven
20932,Melrose Dr & Green Oak Rd,33.155512,-117.241872,,20932,0,,1,N-S/B,,,Melrose&Green Oak
20933,S Mission Rd & Big Oak Ranch Rd,33.338546,-117.238352,,20933,0,,1,F-S/B,,,S Mission&Big Oak Ranch
20934,Rancho Santa Fe Rd & 9th St,33.048229,-117.233968,,20934,0,,2,N-S/B,rsfcdS,,Rcho Santa Fe&9th
20937,Anza Av & Bobier Dr,33.219717,-117.233778,,20937,0,,1,N-S/B,,,Anza&Bobier
20938,S Mission Rd & Hellers Bend (North),33.324208,-117.235281,,20938,0,,1,N-S/B,,,S Mission & Hellers Bend (North)
20939,Anza Av & Monterey Ln,33.221626,-117.232746,,20939,0,,1,N-S/B,,,Anza&Monterey
20941,E Vista Way & Hutchison St,33.250302,-117.230342,,20941,0,,1,F-S/B,evwhuS,,E Vista Way&Hutchison
20942,E Vista Way & E Bobier Dr,33.216647,-117.226760,,20942,0,,1,F-S/B,,,E Vista Way&E Bobier
20943,E Vista Way & Arcadia Av,33.226019,-117.226283,,20943,0,,1,N-S/B,evwarS,,E Vista Way&Arcadia
20944,E Vista Way & Osborne St,33.238540,-117.226351,,20944,0,,1,N-S/B,,,E Vista Way&Osborne
20945,La Mirada Dr & Commerce Wy,33.150407,-117.222668,,20945,0,,2,N-E/B,,,La Mirada&Commerce
20946,Oak Dr & Foothill Dr,33.216685,-117.221913,,20946,0,,1,N-S/B,,,Oak&Foothill
20947,Rancho Santa Fe Rd & Somerset Pl,33.128981,-117.211233,,20947,0,,1,N-S/B,,,Rcho Santa Fe & Somerset
20948,Rancho Santa Fe Rd & 1st St,33.137123,-117.205028,,20948,0,,1,N-S/B,,,Rcho Santa Fe&1st
